"number";"player";"team";"apps";"min";"goals";"NPG";"a"
220;"Panos Katseris";"Lorient";16;728;1;1;2
221;"Mohamed Bamba";"Lorient";18;664;1;1;2
222;"Dehmaine Assoumani";"Nantes";27;1261;1;1;0
223;"Stanis Idumbo Muzambo";"Monaco";8;129;1;1;1
224;"Simon Ebonog";"Le Havre";30;1775;1;1;0
225;"Yanis Zouaoui";"Le Havre";30;2380;1;0;1
226;"Ngal&#039;ayel Mukau";"Lille";30;1548;1;1;0
227;"Osame Sahraoui";"Lille";18;471;1;1;2
228;"Louis Leroux";"Nantes";23;1443;1;1;1
229;"Jordan Teze";"Monaco";33;2515;1;1;2
230;"Matt O&#039;Riley";"Marseille";15;725;1;1;2
231;"Soriba Diaoune";"Lille";10;160;1;1;1
232;"Stephan Zagadou";"Le Havre";8;503;1;1;0
233;"Lanroy Machine";"Angers";22;466;1;1;0
234;"Quentin Ndjantou";"Paris Saint Germain";10;344;1;1;1
235;"Adam Karabec";"Lyon";21;922;1;1;0
236;"Ruben Kluivert";"Lyon";16;767;1;1;2
237;"Godson Kyeremeh";"Le Havre";13;350;1;1;1
238;"Felix Mambimbi";"Le Havre";17;515;1;1;0
239;"Dro Fernández";"Paris Saint Germain";12;680;1;1;0
240;"Kojo Peprah Oppong";"Nice";29;2440;1;1;0
241;"Isak Jansson";"Nice";22;623;1;1;0
242;"Mário Sauer";"Toulouse";25;611;1;1;0
243;"Alexis Vossah";"Toulouse";23;1097;1;1;1
244;"Seny Koumbassa";"Toulouse";9;432;1;1;0
245;"Nathan Ngoy";"Lille";29;2397;1;1;2
246;"Marius Broholm";"Lille";11;269;1;0;1
247;"Dermane Karim";"Lorient";30;1371;1;1;2
248;"Samir Chergui";"Paris FC";15;1157;1;1;0
249;"Nouha Dicko";"Paris FC";8;51;1;1;1
250;"Adama Camara";"Paris FC";29;2198;1;1;0
251;"Kendry Páez";"Strasbourg";15;411;1;1;0
252;"Maxi Oyedele";"Strasbourg";8;456;1;1;0
253;"Otávio";"Paris FC";23;1907;1;1;0
254;"Nordan Mukiele";"Rennes";8;69;1;1;0
255;"Daouda Guindo";"Brest";25;1689;1;1;1
256;"Mayckel Lahdo";"Nantes";8;434;1;1;1
257;"Pathé Mboup";"Brest";28;1028;1;1;0
258;"Noam Obougou";"Le Havre";5;84;1;1;0
259;"Kenny Quetant";"Le Havre";9;378;1;1;0
260;"Pape Diop";"Toulouse";15;1187;1;1;2
261;"Rémi Himbert";"Lyon";6;114;1;1;0
262;"Kail Boudache";"Nice";13;507;1;1;0
263;"Jacen Russell-Rowe";"Toulouse";13;461;1;1;0
264;"Jahyann Pandore";"Metz";4;71;1;1;0
