Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,T. Mmadi LM CAM LW,18,64,75,Olympique de Marseille 2025 ~ 2028,€1.2M,€6K,1555,
,R. Le Guen CB,18,64,76,Stade Brestois 29 2025 ~ 2029,€1.3M,€4K,1338,
,H. Makalou CDM CM,18,64,81,Stade Brestois 29 2025 ~ 2029,€1.4M,€4K,1673,
,K. Quetant ST CAM,18,64,76,Le Havre AC 2025 ~ 2028,€1.4M,€3K,1499,
,L. Gueye RW RM,27,64,64,Paris FC 2023 ~ 2029,€625K,€12K,1632,
,A. Sarco ST,19,64,81,"Borussia Mönchengladbach Jun 30, 2026 On loan",€1.5M,€12K,1600,
,T. Sippel GK,37,64,64,Borussia Mönchengladbach 2015 ~ 2027,€60K,€3K,1128,
,O. Stange ST LM,18,64,81,Hamburger SV 2024 ~ 2028,€1.5M,€5K,1509,
,L. Jovanović RM LM RW,18,64,82,VfB Stuttgart 2025 ~ 2029,€1.5M,€6K,1491,
,T. Chandler RB RM,35,64,64,Eintracht Frankfurt 2014 ~ 2029,€180K,€6K,1821,
,L. Petersson GK,21,64,70,TSG 1899 Hoffenheim 2024 ~ 2027,€775K,€3K,976,
,U. Ogundu ST,19,64,77,FC Augsburg 2026 ~ 2031,€1.4M,€7K,1476,
,A. Thomas LW ST LM,17,64,84,RB Leipzig 2026 ~ 2031,€1.6M,€7K,1618,
,N. Elphege ST,24,64,67,Parma 2026 ~ 2030,€800K,€5K,1515,
,R. Żelezny GK,18,64,78,Roma 2025 ~ 2029,€1.2M,€3K,932,
,D. Oyegoke CB RB RM,22,64,74,Hellas Verona FC 2025 ~ 2028,€1.2M,€3K,1605,
,O. Ngom CM CDM,21,64,74,Lecce 2026 ~ 2029,€1.3M,€3K,1673,
,M. Vigorito GK,35,64,64,Como 2023 ~ 2028,€60K,€7K,1084,
,N. Zätterström CB,20,64,78,"Genoa Jun 30, 2026 On loan",€1.3M,€10K,1541,
,Salvi Esquivel GK,19,64,78,Atlético Madrid 2024 ~ 2027,€1.2M,€4K,869,
,Javi Boñar RB CB,20,64,78,Atlético Madrid 2023 ~ 2028,€1.3M,€9K,1612,
,Julio Díaz LB LM,20,64,78,Atlético Madrid 2024 ~ 2028,€1.3M,€9K,1616,
,Toni Fernández RW RM,16,64,83,FC Barcelona 2025 ~ 2027,€1.5M,€11K,1517,
,Víctor Valdepeñas CB LB LM,18,64,81,Real Madrid 2025 ~ 2029,€1.4M,€19K,1597,
,César Palacios CAM CM ST,20,64,78,Real Madrid 2023 ~ 2027,€1.4M,€24K,1562,
,Manuel Ángel CM CDM CAM,21,64,75,Real Madrid 2023 ~ 2027,€1.3M,€23K,1617,
,Marc Vidal GK,25,64,68,RC Celta 2025 ~ 2028,€650K,€4K,915,
,Tristán GK,23,64,72,RCD Espanyol 2025 ~ 2030,€1.1M,€3K,961,
,Rubén Iranzo CB RB,22,64,73,Valencia CF 2024 ~ 2027,€1.2M,€8K,1611,
,Mauro CDM CM,20,64,73,CA Osasuna 2023 ~ 2028,€1.2M,€6K,1621,
,Diego Méndez CDM CM,21,64,72,Rayo Vallecano 2021 ~ 2030,€1.2M,€4K,1565,
,Miguel Sierra RW LW RM,20,64,74,Sevilla FC 2024 ~ 2029,€1.3M,€6K,1550,
,I. Bekhoucha RB,20,64,75,Getafe CF 2025 ~ 2028,€1.2M,€6K,1648,
,V. Krapyvtsov GK,20,64,78,Girona FC 2024 ~ 2029,€1.2M,€3K,941,
,Marco Esteban CB RB,19,64,75,Real Oviedo 2025 ~ 2028,€1.2M,€5K,1522,
,S. Chambers CAM RM CM,17,63,79,Leeds United 2025 ~ 2028,€1.2M,€7K,1601,
,A. Cairns GK,32,63,63,Leeds United 2024 ~ 2029,€240K,€8K,1097,
,J. Fletcher CM CDM CAM,18,63,81,Manchester United 2024 ~ 2027,€1.2M,€10K,1702,
,Z. Abbott CB RB,19,63,78,Nottingham Forest 2022 ~ 2029,€1.1M,€11K,1495,
,E. González LW RW CAM LM,20,63,75,Wolverhampton Wanderers 2023 ~ 2029,€1.2M,€11K,1546,
,E. Agyei RM RW,20,63,75,Burnley 2023 ~ 2027,€1.2M,€9K,1523,
,R. Matthews GK,31,63,63,Crystal Palace 2021 ~ 2027,€250K,€10K,1136,
,K. Furo ST,18,63,83,Brentford 2026 ~ 2031,€1.3M,€11K,1578,
,E. Balcombe GK,25,63,67,Brentford 2016 ~ 2027,€525K,€8K,1079,
,T. Siwe CB,20,63,78,AJ Auxerre 2025 ~ 2027,€1.1M,€4K,1371,
,Rafael Fernandes CB,23,63,74,Lille OSC 2024 ~ 2028,€1M,€6K,1499,
,O. Ba GK,23,63,73,FC Metz 2025 ~ 2027,€925K,€2K,962,
,P. Cabral CDM CM,18,63,78,AS Monaco 2025 ~ 2028,€1.1M,€4K,1696,
,A. Boayar ST,19,62,78,Elche CF 2023 ~ 2027,€1M,€4K,1495,
,Rafa Romero GK,21,62,72,Sevilla FC 2025 ~ 2027,€775K,€2K,883,
,J. Valou CB LB,19,62,78,Villarreal CF 2024 ~ 2030,€975K,€5K,1508,
,Carlos Macià CM CDM,16,62,81,Villarreal CF 2025 ~ 2029,€1M,€4K,1626,
,M. Krug CB,18,62,76,Levante UD 2025 ~ 2028,€875K,€4K,1431,
,Alberto Risco CAM CM,19,62,75,Getafe CF 2023 ~ 2028,€950K,€5K,1572,
,Diego Espinosa CB,20,62,75,Real Oviedo 2025 ~ 2029,€900K,€5K,1404,
,Dieguito CM CAM RM CDM,20,62,76,Real Oviedo 2023 ~ 2028,€950K,€5K,1698,
,R. Williams CB,24,61,66,Liverpool 2019 ~ 2028,€450K,€12K,1457,
,H. Davies GK,21,61,72,Liverpool 2021 ~ 2030,€650K,€5K,900,
,E. da Silva Moreira RB RM,19,61,77,Nottingham Forest 2024 ~ 2028,€825K,€9K,1632,
,J. Rowswell CB,18,61,76,Tottenham Hotspur 2024 ~ 2029,€725K,€9K,1442,
,L. Orford CDM CM,19,61,78,West Ham United 2023 ~ 2029,€800K,€7K,1615,
,M. Aleksić CM CAM CDM,19,61,71,Sunderland 2024 ~ 2028,€700K,€7K,1651,
,K. Rodney CDM RB CM,20,61,70,Crystal Palace 2024 ~ 2030,€675K,€9K,1582,
,C. Mélières RB,20,61,73,FC Metz 2025 ~ 2028,€750K,€2K,1491,
,D. Coulibaly CM CDM,16,61,76,OGC Nice 2025 ~ 2027,€750K,€2K,1632,
,E. Legendre Quiñonez RM RW,17,61,77,Stade Rennais FC 2025 ~ 2029,€825K,€2K,1497,
,T. Noubissie CM CDM,16,61,79,RC Strasbourg Alsace 2026 ~ 2028,€825K,€5K,1542,
,Daniel Semedo CAM CM,21,61,70,FC Lorient 2026 ~ 2028,€725K,€3K,1495,
,T. Sanusi LW RW LM,18,61,82,"FC Lorient Jun 30, 2026 On loan",€1M,€12K,1457,
,U. Lamare El Kadmiri ST,18,61,75,Olympique de Marseille 2026 ~ 2027,€775K,€5K,1415,
,J. Van Neck GK,21,61,71,Olympique de Marseille 2025 ~ 2027,€650K,€2K,936,
,L. Machine ST,19,61,71,Angers SCO 2025 ~ 2028,€725K,€2K,1436,
,P. Argney GK,19,61,77,Le Havre AC 2024 ~ 2027,€750K,€900,983,
,G. Zohouri CM CDM,18,61,76,Le Havre AC 2024 ~ 2027,€750K,€2K,1587,
,E. Faty ST,18,61,76,Toulouse FC 2025 ~ 2030,€775K,€3K,1498,
,F. Efuele Ngoyala CB CDM CM,20,61,74,Toulouse FC 2025 ~ 2028,€750K,€3K,1449,
,G. Della Rovere CAM CM,18,61,80,FC Bayern München 2026 ~ 2027,€825K,€6K,1504,
,W. Mike LM LW,16,61,85,FC Bayern München 2025 ~ 2027,€1M,€5K,1560,
,V. Manuba RB LB,20,61,74,FC Bayern München 2025 ~ 2028,€750K,€7K,1535,
,B. Sapoko Ndiaye CM CAM CDM,17,61,81,FC Bayern München 2026 ~ 2028,€875K,€5K,1696,
,E. Benkara CB,18,61,79,Borussia Dortmund 2026 ~ 2029,€775K,€5K,1396,
,M. Kaba CDM CM,16,61,85,Borussia Dortmund 2026 ~ 2027,€975K,€4K,1502,
,C. Neumann RB RM,18,61,77,1. FC Köln 2025 ~ 2027,€800K,€3K,1530,
,S. Musah ST,19,61,77,SV Werder Bremen 2025 ~ 2029,€850K,€4K,1488,
,D. Gleiber CM CAM CDM,20,61,75,1. FSV Mainz 05 2024 ~ 2028,€775K,€4K,1678,
,P. Hensel CM CDM CAM,18,61,76,VfL Wolfsburg 2025 ~ 2029,€750K,€5K,1638,
,F. Micheler CM CAM CDM,20,61,75,TSG 1899 Hoffenheim 2024 ~ 2027,€775K,€5K,1621,
,K. Frees CB,20,61,71,TSG 1899 Hoffenheim 2025 ~ 2029,€675K,€4K,1294,
,D. Klein GK,24,61,67,FC Augsburg 2021 ~ 2029,€425K,€3K,880,
,S. Spari GK,23,61,71,FC St. Pauli 2025 ~ 2028,€625K,€2K,893,
,L. Jakirović CB LB,17,61,82,Inter 2026 ~ 2030,€975K,€3K,1641,
,M. Mosconi ST,18,61,76,Inter 2026 ~ 2028,€775K,€4K,1507,
,A. Furlanetto GK,23,61,66,Lazio 2022 ~ 2028,€400K,€3K,980,
,A. Cardinali LM RM ST LW,19,61,76,Parma 2026 ~ 2028,€775K,€3K,1432,
,J. Samooja GK,21,61,69,Lecce 2023 ~ 2030,€650K,€850,888,
,E. Košpo CB,18,61,76,Fiorentina 2025 ~ 2030,€725K,€5K,1415,
,F. Carbone CAM CM,18,61,74,Genoa 2026 ~ 2028,€750K,€3K,1541,
,M. Doucouré CB,18,61,76,Genoa 2026 ~ 2028,€725K,€3K,1386,
,F. Coppola CB,20,61,76,Pisa 2026 ~ 2029,€750K,€2K,1355,
,T. Macchioni CB,19,61,76,Sassuolo 2026 ~ 2029,€725K,€3K,1317,
,Jofre Torrents LB,18,61,79,FC Barcelona 2025 ~ 2028,€800K,€8K,1564,
,Tommy Marqués CDM CM,18,61,78,FC Barcelona 2025 ~ 2028,€800K,€8K,1586,
,Fortea RB,18,61,77,Real Madrid 2025 ~ 2029,€800K,€14K,1585,
,Andrés Antañón CM CAM CDM,18,61,78,RC Celta 2024 ~ 2027,€825K,€3K,1640,
,Orejuela LB,17,61,78,RCD Mallorca 2025 ~ 2028,€775K,€3K,1522,
,Lucas Núñez CM CDM,19,61,74,Valencia CF 2025 ~ 2028,€775K,€5K,1636,
,Carlos Ballestero RB LB CB,21,61,72,Deportivo Alavés 2025 ~ 2027,€700K,€4K,1579,
,G. Swiderski GK,19,61,77,Deportivo Alavés 2024 ~ 2027,€750K,€2K,894,
,Mestanza CAM LW RW CM,20,61,75,"Getafe CF Jun 30, 2026 On loan",€800K,€8K,1577,
,Damián CM CDM,22,61,70,Getafe CF 2024 ~ 2029,€725K,€5K,1706,
,Lucas Laso CB,22,61,72,Getafe CF 2025 ~ 2030,€700K,€5K,1490,
,Gibi RB,18,61,78,Girona FC 2025 ~ 2029,€800K,€3K,1487,
,J. Arango LM ST LW,19,61,75,Girona FC 2025 ~ 2028,€775K,€4K,1573,
,Cheli CM CAM CDM,19,61,74,Real Oviedo 2025 ~ 2029,€775K,€4K,1747,
,Omar Falah LB LM,21,61,72,Real Oviedo 2025 ~ 2027,€700K,€4K,1671,
,M. Gueye RM RB RW,20,61,74,Real Oviedo 2025 ~ 2027,€800K,€5K,1683,
,L. Shahar RB RM,18,60,79,Newcastle United 2025 ~ 2028,€600K,€8K,1586,
,E. Mayers CB,18,60,78,West Ham United 2025 ~ 2028,€600K,€6K,1397,
,H. Jones CAM CM,20,60,74,Sunderland 2024 ~ 2028,€600K,€6K,1533,
,N. Oriola LM RM LW,18,60,78,Brighton & Hove Albion 2025 ~ 2027,€625K,€7K,1507,
,R. Rees-Dottin ST,19,60,75,AFC Bournemouth 2025 ~ 2028,€600K,€7K,1519,
,Y. Zaddy CDM CM,19,60,72,AJ Auxerre 2025 ~ 2028,€550K,€2K,1466,
,J. Mangondo ST,19,60,76,FC Metz 2024 ~ 2028,€650K,€2K,1471,
,J. Stawiecki GK,18,60,77,AS Monaco 2024 ~ 2029,€550K,€1K,923,
,J. Bosey ST,17,60,76,RC Strasbourg Alsace 2026 ~ 2029,€625K,€5K,1448,
,M. Bley CAM CM,19,60,73,FC Lorient 2025 ~ 2028,€575K,€2K,1419,
,N. Kamissoko CDM CM,20,60,69,Olympique de Marseille 2023 ~ 2027,€500K,€4K,1491,
,T. Vermot GK,28,60,61,Olympique de Marseille 2024 ~ 2028,€200K,€4K,906,
,G. Gomis CB,17,60,76,Le Havre AC 2025 ~ 2028,€575K,€1K,1351,
,D. Ofli LB,18,60,80,FC Bayern München 2025 ~ 2028,€650K,€5K,1488,
,N. Swider CDM CM,18,60,80,Borussia Mönchengladbach 2024 ~ 2027,€650K,€3K,1669,
,F. Harchaoui CDM CM,19,60,77,1. FC Köln 2024 ~ 2028,€600K,€2K,1503,
,B. Hawighorst CB CDM,17,60,82,Bayer 04 Leverkusen 2025 ~ 2028,€725K,€5K,1409,
,N. Mensah CM CDM,18,60,79,Bayer 04 Leverkusen 2025 ~ 2027,€625K,€6K,1616,
,E. Chigozie Owen RM CAM RW,18,60,79,Bayer 04 Leverkusen 2026 ~ 2028,€625K,€6K,1525,
,W. Adeh CM CDM,18,60,77,SV Werder Bremen 2024 ~ 2028,€625K,€3K,1620,
,T. Benedict LM LW ST,18,60,75,VfL Wolfsburg 2022 ~ 2028,€575K,€4K,1500,
,A. Šiljević GK,18,60,78,Eintracht Frankfurt 2024 ~ 2028,€550K,€1K,852,
,F. Doumbia CB LB,20,60,75,Eintracht Frankfurt 2025 ~ 2029,€550K,€3K,1435,
,M. Kücüksahin CDM CM,21,60,72,FC Augsburg 2024 ~ 2027,€575K,€4K,1496,
,F. Meiser CB,18,60,75,FC Augsburg 2025 ~ 2027,€525K,€3K,1423,
,Y. Wagner LM ST LW,18,60,77,1. FC Heidenheim 1846 2025 ~ 2029,€625K,€3K,1508,
,A. Arena ST,16,60,81,Roma 2026 ~ 2028,€775K,€4K,1425,
,A. Lahdo CM CDM,17,60,77,Como 2026 ~ 2027,€600K,€6K,1589,
,L. Balbo LB LM,19,60,75,Fiorentina 2025 ~ 2028,€550K,€4K,1455,
,L. Nava GK,21,60,72,Cremonese 2025 ~ 2028,€525K,€700,896,
,C. Frangella CM CAM,18,60,75,Sassuolo 2026 ~ 2028,€575K,€2K,1532,
,Jano Monserrate CAM CM,19,60,77,Atlético Madrid 2024 ~ 2027,€625K,€6K,1543,
,Taufik Seidu CM CDM,17,60,79,Atlético Madrid 2025 ~ 2029,€600K,€4K,1688,
,Guille Fernández CM CDM,17,60,80,FC Barcelona 2024 ~ 2027,€675K,€6K,1602,
,Diego Aguado CB LB CM,18,60,76,Real Madrid 2025 ~ 2029,€600K,€11K,1511,
,Manu Serrano LB CB,21,60,71,Real Madrid 2025 ~ 2027,€525K,€13K,1505,
,Sergio Mestre GK,20,60,74,Real Madrid 2025 ~ 2028,€525K,€7K,977,
,Asier Hierro ST,20,60,74,Athletic Club 2024 ~ 2028,€600K,€5K,1439,
,Lluc Castell LW LM,18,60,76,RCD Espanyol 2024 ~ 2028,€625K,€2K,1483,
,I. Salhi LB LM,17,60,77,RCD Mallorca 2025 ~ 2029,€600K,€2K,1569,
,Miguel Calatayud RB RM,19,60,75,RCD Mallorca 2025 ~ 2030,€550K,€3K,1533,
,Samu Becerra CM CDM,19,60,73,Rayo Vallecano 2025 ~ 2027,€575K,€2K,1612,
,Hugo López CAM LM LW CM,18,60,79,Villarreal CF 2025 ~ 2028,€625K,€4K,1541,
,Álex Primo GK,20,60,72,Levante UD 2021 ~ 2028,€525K,€1K,899,
,Adri Fernández RB LB,19,60,74,Real Oviedo 2024 ~ 2029,€550K,€3K,1618,
,S. Neave ST CAM,18,59,79,Newcastle United 2025 ~ 2028,€625K,€10K,1483,
,E. Legros CB,17,59,74,AJ Auxerre 2025 ~ 2028,€475K,€2K,1370,
,R. Rodin ST,19,59,71,AJ Auxerre 2025 ~ 2028,€550K,€3K,1399,
,T. Negrel GK,22,59,69,AJ Auxerre 2024 ~ 2030,€450K,€2K,890,
,A. Lago ST,20,59,69,Olympique de Marseille 2026 ~ 2027,€500K,€5K,1431,
,I. Kanté RM RW,18,59,75,Stade Brestois 29 2025 ~ 2028,€575K,€2K,1440,
,O. Pona GK,19,59,72,Angers SCO 2024 ~ 2027,€475K,€750,979,
,Edu Altozano CM CDM,18,58,78,Sevilla FC 2025 ~ 2029,€550K,€3K,1537,
,Jorge Benito GK,19,58,73,Getafe CF 2023 ~ 2027,€425K,€1K,930,
,M. Akinmboni CB,18,57,75,AFC Bournemouth 2025 ~ 2030,€400K,€6K,1292,
,I. Guerti CAM CM,20,57,69,FC Metz 2025 ~ 2027,€400K,€2K,1498,
,J. Pandore CM CDM,17,57,72,FC Metz 2026 ~ 2028,€375K,€1K,1507,
,D. Sinaté LB,19,57,71,Angers SCO 2025 ~ 2029,€375K,€2K,1405,
,E. Osmani CDM CM,16,57,81,FC Bayern München 2026 ~ 2028,€500K,€4K,1413,
,H. Hermann GK,20,57,68,Hamburger SV 2024 ~ 2027,€300K,€1K,824,
,F. Dickes GK,17,57,77,Hamburger SV 2025 ~ 2028,€400K,€500,972,
,J. Schlich GK,17,57,73,Bayer 04 Leverkusen 2025 ~ 2028,€350K,€1K,906,
,M. Heitmann CB,19,57,74,SV Werder Bremen 2026 ~ 2028,€400K,€3K,1330,
,Germán García GK,21,57,64,Real Betis Balompié 2024 ~ 2028,€275K,€1K,856,
,Jorge Montes LB LM,21,57,67,Getafe CF 2025 ~ 2027,€350K,€3K,1343,
,L. Klanac GK,18,56,75,FC Bayern München 2025 ~ 2027,€325K,€2K,848,
,M. Köbbing GK,28,56,59,1. FC Köln 2021 ~ 2027,€130K,€2K,920,
,T. Wisbereit GK,17,56,72,1. FC Union Berlin 2026 ~ 2028,€325K,€650,850,
,G. Astaldi GK,19,56,68,Parma 2025 ~ 2028,€300K,€1K,814,
,T. Gabellini ST,18,56,71,Torino 2024 ~ 2028,€325K,€4K,1338,
,L. Siviero GK,18,56,75,Torino 2026 ~ 2027,€325K,€1K,912,
,A. Nunziante GK,18,56,75,Udinese 2025 ~ 2030,€325K,€750,888,
,J. Ajayi ST,20,56,70,Hellas Verona FC 2024 ~ 2027,€350K,€2K,1365,
,G. Toniolo GK,21,56,66,Hellas Verona FC 2025 ~ 2028,€275K,€700,966,
,R. Braschi ST,18,56,71,Fiorentina 2025 ~ 2027,€325K,€5K,1340,
,E. Lysionok GK,18,56,74,Genoa 2025 ~ 2028,€325K,€950,815,
,B. Bettazzi CM CDM,17,56,68,Pisa 2024 ~ 2029,€325K,€900,1508,
,Joselu Pérez ST,21,56,67,Getafe CF 2025 ~ 2027,€325K,€4K,1391,
,M. Ferrante GK,18,54,68,Napoli 2025 ~ 2030,€220K,€2K,821,
,A. Camara CDM CM,16,54,76,Udinese 2025 ~ 2029,€325K,€1K,1416,
,M. Pessina GK,17,54,74,Bologna 2025 ~ 2028,€250K,€650,889,
,Adrián Molina GK,19,54,64,Rayo Vallecano 2024 ~ 2028,€200K,€850,855,
,E. Plicco CM CAM,18,53,68,Parma 2025 ~ 2028,€220K,€2K,1395,
,M. Pittarella GK,17,52,67,AC Milan 2025 ~ 2028,€160K,€600,825,
,V. Sarno GK,17,52,67,Cagliari 2025 ~ 2028,€160K,€500,861,
