Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,M. Kaars ST,26,72,73,FC St. Pauli 2025 ~ 2027,€2.8M,€19K,1857,
,L. Paçarada LB LM,30,72,72,1. FC Heidenheim 1846 2025 ~ 2027,€2M,€21K,1886,
,M. Busch RB CB RM CDM,30,72,72,1. FC Heidenheim 1846 2017 ~ 2027,€2M,€21K,1892,
,M. Honsak LM LW ST LB,28,72,72,1. FC Heidenheim 1846 2024 ~ 2027,€2.4M,€22K,1917,
,B. Zivzivadze ST,31,72,72,1. FC Heidenheim 1846 2025 ~ 2029,€2M,€24K,1743,
,J. Schöppner CDM CM,26,72,74,1. FC Heidenheim 1846 2020 ~ 2028,€2.6M,€20K,1837,
,O. Traoré RB RM,27,72,72,1. FC Heidenheim 1846 2023 ~ 2029,€2.3M,€20K,1860,
,J. Niehues CDM CM,24,72,75,1. FC Heidenheim 1846 2024 ~ 2027,€2.9M,€18K,1794,
,A. Ibrahimović LM RM LW,19,72,83,"1. FC Heidenheim 1846 Jun 30, 2026 On loan",€5M,€25K,1785,
,K. Nedeljković RB RM,19,72,83,"RB Leipzig Jun 30, 2026 On loan",€4.8M,€39K,1810,
,H. Ahanor CB LB,17,72,81,Atalanta 2025 ~ 2027,€4.5M,€18K,1724,
,E. Hysaj LB RB LM,31,72,72,Lazio 2021 ~ 2029,€1.7M,€22K,1824,
,O. Sørensen CM CAM,23,72,77,Parma 2025 ~ 2030,€3.5M,€13K,1971,
,A. Circati CB,21,72,80,Parma 2022 ~ 2027,€4.9M,€11K,1612,
,N. Pisilli CM CAM,20,72,84,Roma 2022 ~ 2029,€5.5M,€24K,1914,
,D. Ghilardi CB,22,72,80,Roma 2025 ~ 2030,€4.9M,€27K,1566,
,M. Prati CDM CM CB,21,72,81,"Torino Jun 30, 2026 On loan",€5M,€7K,1955,
,H. Kamara LB LM,31,72,72,Udinese 2022 ~ 2030,€1.7M,€14K,1950,
,A. Buksa ST,28,72,72,Udinese 2025 ~ 2029,€2.4M,€15K,1722,
,J. Piotrowski CM CDM,27,72,72,Udinese 2025 ~ 2029,€2.5M,€14K,1923,
,N. Bertola CB,22,72,78,Udinese 2025 ~ 2030,€3.4M,€11K,1555,
,F. Ravaglia GK,25,72,75,Bologna 2017 ~ 2028,€2.4M,€17K,1076,
,J. Akpa Akpro CM CDM,32,72,72,Hellas Verona FC 2025 ~ 2029,€1.8M,€10K,1999,
,R. Gagliardini CDM CM,31,72,72,Hellas Verona FC 2025 ~ 2029,€1.6M,€10K,1825,
,A. Bernede CM CDM,26,72,73,Hellas Verona FC 2025 ~ 2028,€2.7M,€10K,1981,
,M. Frese LB CB LM,27,72,72,Hellas Verona FC 2024 ~ 2027,€2.3M,€9K,1929,
,A. Bella-Kotchap CB,23,72,78,Hellas Verona FC 2026 ~ 2030,€3.4M,€8K,1544,
,D. Bradarić LB LM,25,72,74,Hellas Verona FC 2025 ~ 2028,€2.7M,€9K,1907,
,T. Suslov CAM CM,23,72,80,Hellas Verona FC 2024 ~ 2027,€5M,€9K,1986,
,Àlex Sala CDM CM,24,72,76,Lecce 2025 ~ 2028,€3.1M,€8K,1928,
,W. Cheddira ST,27,72,72,"Lecce Jun 30, 2026 On loan",€2.5M,€56K,1824,
,Kialonda Gaspar CB,27,72,74,Lecce 2024 ~ 2027,€2.5M,€9K,1529,
,O. Gandelman CAM CM RM,25,72,75,Lecce 2026 ~ 2029,€3.1M,€9K,1978,
,E. Goldaniga CB RB,31,72,72,Como 2024 ~ 2030,€1.6M,€51K,1602,
,I. Van der Brempt RB RM,23,72,78,Como 2025 ~ 2028,€3.5M,€42K,1860,
,M. Felici LM LB,24,72,75,Cagliari 2024 ~ 2027,€3.2M,€8K,1864,
,A. Sabiri CAM CM ST,28,72,72,Fiorentina 2023 ~ 2028,€2.4M,€32K,1947,
,M. Brescianini CM CAM,25,72,75,"Fiorentina Jun 30, 2026 On loan",€3.1M,€36K,1922,
,J. Fazzini CAM CM,22,72,81,Fiorentina 2025 ~ 2030,€5.5M,€27K,1895,
,C. Ndour CM CAM CDM,20,72,83,Fiorentina 2025 ~ 2029,€5M,€23K,1874,
,Junior Messias CM CAM,34,72,72,Genoa 2025 ~ 2028,€1.1M,€18K,1955,
,L. Colombo ST,23,72,79,Genoa 2025 ~ 2029,€4.7M,€16K,1691,
,S. Moreo ST CAM CM,32,72,72,Pisa 2023 ~ 2027,€1.9M,€10K,1875,
,S. Canestrelli CB,24,72,75,Pisa 2023 ~ 2027,€2.9M,€7K,1674,
,S. Iling-Junior LM LB RM,21,72,80,"Pisa Jun 30, 2026 On loan",€5.5M,€44K,1896,
,M. Silvestri GK,34,72,72,Cremonese 2025 ~ 2028,€400K,€6K,1186,
,J. Vandeputte CM LM CAM,29,72,72,Cremonese 2024 ~ 2030,€2.3M,€10K,1946,
,M. Thorsby CM CAM,29,72,72,Cremonese 2026 ~ 2030,€2.3M,€10K,1946,
,F. Bonazzoli ST CAM,28,72,72,Cremonese 2024 ~ 2028,€2.4M,€11K,1738,
,D. Okereke ST LM LW,27,72,72,Cremonese 2022 ~ 2028,€2.5M,€10K,1752,
,F. Moumbagna ST,25,72,76,"Cremonese Jun 30, 2026 On loan",€3.3M,€27K,1754,
,M. Collocolo CM CDM CAM,25,72,75,Cremonese 2023 ~ 2027,€3.1M,€9K,1935,
,S. Walukiewicz CB RB,25,72,76,"Sassuolo Jun 30, 2026 On loan",€2.9M,€23K,1672,
,W. Coulibaly RB LB RM,26,72,73,"Sassuolo Jun 30, 2026 On loan",€2.5M,€29K,1862,
,A. Vranckx CM CDM,22,72,77,"Sassuolo Jun 30, 2026 On loan",€3.6M,€25K,1970,
,S. Turati GK,23,72,79,Sassuolo 2019 ~ 2028,€4M,€7K,1056,
,D. Boloca CM CDM,26,72,72,Sassuolo 2023 ~ 2028,€2.5M,€15K,1870,
,O. Vargas CDM CM RM,19,72,83,Atlético Madrid 2026 ~ 2030,€4.8M,€24K,1843,
,Maroan ST,24,72,77,Athletic Club 2025 ~ 2029,€3.6M,€25K,1762,
,Rego CDM CM,22,72,81,Athletic Club 2025 ~ 2028,€5M,€22K,1806,
,Vesga CDM CM,32,72,72,Athletic Club 2016 ~ 2027,€1.6M,€27K,1885,
,Lekue RB LB CB CDM,32,72,72,Athletic Club 2015 ~ 2030,€1.6M,€27K,1937,
,Unai Gómez CAM LM CM,22,72,78,Athletic Club 2022 ~ 2028,€3.8M,€24K,1906,
