ID,Player_Name,Age,Primary_Position,Player_Type,Positions,Club,League,Contract_End_Year,Height_cm,Weight_kg,BMI,Value_EUR,Value_Formatted,Wage_EUR,Wage_Formatted,Value_per_Overall,apps,min,goals,a,NPG,Performance_Score,Overall rating,Potential,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,"﻿""number"""
277537,Natan,24,CB,Outfield,CB,Real Betis Balompié,La Liga,2030,188.0,85.0,24.05,19000000.0,19M,25000.0,25K,243589.74,33,2820,0,0,0,0.0,78,83,Left,66,66,73,83,78,62,68,80,80,14,13,8,2,2,466
255566,Samú Costa,24,CDM,Outfield,CDM CM,RCD Mallorca,La Liga,2028,183.0,75.0,22.4,18500000.0,18.5M,28000.0,28K,237179.49,34,2731,7,2,7,0.3,78,82,Left,65,57,82,76,76,71,66,79,75,6,7,14,2,2,43
234153,Carlos Soler,28,CM,Outfield,CM CAM CDM,Real Sociedad,La Liga,2029,180.0,76.0,23.46,14000000.0,14M,41000.0,41K,179487.18,33,2346,4,3,4,0.27,78,78,Right,74,70,73,70,74,81,77,74,72,6,14,13,4,3,74
235944,Brais Méndez,28,CM,Outfield,CM CAM ST CDM,Real Sociedad,La Liga,2028,187.0,76.0,21.73,14000000.0,14M,41000.0,41K,179487.18,29,1708,6,2,5,0.42,78,78,Left,72,69,73,73,66,80,80,68,61,10,5,12,3,4,49
241811,Sergio Gómez,24,LB,Outfield,LB LM,Real Sociedad,La Liga,2030,173.0,71.0,23.72,18000000.0,18M,32000.0,32K,230769.23,35,2712,0,6,0,0.2,78,81,Left,82,78,82,58,75,80,76,77,72,11,7,11,3,4,364
235522,Aleix Febas,29,CM,Outfield,CM CDM,Elche CF,La Liga,2028,171.0,64.0,21.89,13500000.0,13.5M,28000.0,28K,173076.92,36,3178,2,2,2,0.11,78,78,Right,73,75,83,66,74,79,85,74,67,6,10,9,3,3,127
76042,Víctor Muñoz,21,LW,Outfield,LW LM RW,CA Osasuna,La Liga,2030,173.0,70.0,23.39,31500000.0,31.5M,28000.0,28K,403846.15,34,2705,6,2,6,0.27,78,86,Right,91,95,75,52,50,72,73,52,40,7,7,12,3,3,59
211022,Rubén García,31,RM,Outfield,RM RW RB,CA Osasuna,La Liga,2029,171.0,72.0,24.62,11500000.0,11.5M,37000.0,37K,147435.9,35,2297,2,5,2,0.27,78,78,Left,79,73,66,44,38,80,72,54,41,9,14,14,2,4,115
231591,Javi Galán,30,LB,Outfield,LB LM,CA Osasuna,La Liga,2028,170.0,70.0,24.22,12000000.0,12M,35000.0,35K,153846.15,25,1806,0,1,0,0.05,78,78,Left,79,77,76,67,73,69,74,77,74,14,14,6,2,4,373
258371,Pep Chavarría,27,LB,Outfield,LB LM,Rayo Vallecano,La Liga,2030,174.0,72.0,23.78,13500000.0,13.5M,26000.0,26K,173076.92,33,2672,1,2,1,0.1,78,78,Left,84,87,86,74,75,75,73,78,75,9,10,10,1,3,246
