"number";"player";"team";"apps";"min";"goals";"NPG";"a"
355;"Luiz Felipe";"Rayo Vallecano";10;473;0;0;0
356;"Marko Dmitrovic";"Espanyol";37;3330;0;0;0
357;"Ferland Mendy";"Real Madrid";5;204;0;0;0
358;"Johan Mojica";"Mallorca";35;2723;0;0;4
359;"Diego Pampín";"Levante";8;526;0;0;0
360;"Juan Foyth";"Villarreal";13;946;0;0;0
361;"Marash Kumbulla";"Mallorca";8;434;0;0;0
362;"Andoni Gorosabel";"Athletic Club";24;1347;0;0;1
363;"Júnior Firpo";"Real Betis";12;846;0;0;1
364;"Sergio Gómez";"Real Sociedad";35;2712;0;0;6
365;"Fernando Calero";"Espanyol";28;2159;0;0;0
366;"Lucas Torró";"Osasuna";34;2362;0;0;1
367;"David Hancko";"Atletico Madrid";30;2443;0;0;2
368;"Juan Musso";"Atletico Madrid";8;720;0;0;0
369;"Andriy Lunin";"Real Madrid";6;540;0;0;0
370;"Iñaki Peña";"Elche";16;1440;0;0;0
371;"Bryan Gil Salvatierra";"Girona";29;1607;0;0;3
372;"Yangel Herrera";"Girona,Real Sociedad";14;638;0;0;0
373;"Javi Galán";"Atletico Madrid,Osasuna";25;1806;0;0;1
374;"Alex Sola";"Getafe";1;10;0;0;0
375;"Giacomo Raspadori";"Atletico Madrid";12;203;0;0;1
376;"Andrei Ratiu";"Rayo Vallecano";35;2791;0;0;4
377;"Iván Martín";"Girona";35;2558;0;0;1
378;"Abel Ruiz";"Girona";9;168;0;0;0
379;"Leo Petrot";"Elche";32;1572;0;0;0
380;"Moussa Diarra";"Alaves";3;225;0;0;0
381;"Carl Starfelt";"Celta Vigo";19;1492;0;0;0
382;"Joseph Aidoo";"Celta Vigo";8;640;0;0;0
383;"Martin Valjent";"Mallorca";37;3311;0;0;0
384;"Dani Rodríguez";"Mallorca";2;56;0;0;0
385;"Jon Moncayola";"Osasuna";36;3061;0;0;4
386;"Sergio Herrera";"Osasuna";37;3284;0;0;0
387;"Sheraldo Becker";"Osasuna";9;124;0;0;0
388;"Sofyan Amrabat";"Real Betis";17;1297;0;0;0
389;"Nianzou Kouassi";"Sevilla";12;670;0;0;0
390;"Abdón Prats";"Mallorca";15;92;0;0;0
