"number";"player";"team";"apps";"min";"goals";"NPG";"a"
392;"Valentino Livramento";"Newcastle United";17;1323;0;0;1
393;"Anthony Elanga";"Newcastle United";32;1289;0;0;1
394;"Tim Iroegbunam";"Everton";29;1496;0;0;2
395;"Marco Bizot";"Aston Villa";7;583;0;0;0
396;"David Raya";"Arsenal";37;3330;0;0;0
397;"Kristoffer Ajer";"Brentford";27;1809;0;0;1
398;"Ethan Pinnock";"Brentford";4;330;0;0;0
399;"Rico Henry";"Brentford";25;1315;0;0;1
400;"Frank Onyeka";"Brentford";6;68;0;0;1
401;"Giorgi Mamardashvili";"Liverpool";10;870;0;0;0
402;"José Sá";"Wolverhampton Wanderers";23;2070;0;0;0
403;"Gabriel Gudmundsson";"Leeds";32;2657;0;0;0
404;"Yerson Mosquera";"Wolverhampton Wanderers";27;2154;0;0;0
405;"Romeo Lavia";"Chelsea";12;366;0;0;0
406;"Cristhian Mosquera";"Arsenal";20;976;0;0;0
407;"Lamare Bogarde";"Aston Villa";28;1011;0;0;0
408;"Conor Bradley";"Liverpool";15;962;0;0;1
409;"James McAtee";"Nottingham Forest";14;263;0;0;1
410;"Diego Coppola";"Brighton";5;192;0;0;0
411;"Myles Peart-Harris";"Brentford";1;1;0;0;0
412;"Vitalii Mykolenko";"Everton";33;2963;0;0;1
413;"Nathan Patterson";"Everton";7;241;0;0;0
414;"Toti";"Wolverhampton Wanderers";19;1437;0;0;0
415;"Josh Dasilva";"Brentford";2;2;0;0;0
416;"Carlos Baleba";"Brighton";31;1692;0;0;0
417;"Jamie Bynoe-Gittens";"Chelsea";16;455;0;0;2
418;"Leny Yoro";"Manchester United";32;1736;0;0;0
419;"Tyler Dibling";"Everton";14;337;0;0;0
420;"Noussair Mazraoui";"Manchester United";20;990;0;0;0
421;"Sepp van den Berg";"Brentford";32;2758;0;0;2
422;"James Hill";"Bournemouth";29;2100;0;0;3
423;"Joe Worrall";"Burnley";11;478;0;0;0
424;"Djed Spence";"Tottenham";30;2068;0;0;0
425;"Lisandro Martínez";"Manchester United";18;1217;0;0;0
426;"Tyrell Malacia";"Manchester United";3;7;0;0;0
427;"Levi Colwill";"Chelsea";3;210;0;0;0
428;"Wilson Odobert";"Tottenham";24;946;0;0;2
429;"Rico Lewis";"Manchester City";11;389;0;0;1
